year,population,violentCrime,murder,rape,robbery,agAssault,propCrime,burglary,larceny,mvLarceny
1946,,,87,,592,1112,,1829,,2054
1947,,,87,,810,1144,,2246,,1843
1948,,,67,,643,2214,,4682,,1627
1949,,,72,,952,2329,,4085,6914,1765
1950,,,83,,879,2151,,3744,6723,1935
1951,,,64,,908,2161,,4673,7771,2239
1952,,,101,,1127,2405,,4505,8867,2789
1953,,,96,,1378,2325,,4854,9831,3513
1954,,,77,,1932,2209,,6520,12597,4022
1955,,,94,,1677,2136,,6630,14899,4787
1956,,,95,,1636,1932,,6735,18822,5478
1957,,,92,,2150,2266,,7998,17801,5252
1958,,,101,220,2222,2432,,9543,21997,4483
1959,,,129,244,2096,2450,,9799,18244,4159
1960,,,81,269,2157,2128,,10623,19593,3959
1961,,,92,217,1998,978,,10375,18375,3522
1962,,,92,266,1925,1955,,10621,23601,4327
1963,,,138,249,2098,2104,,11865,27323,4986
1964,,,180,249,2202,2054,,13463,30859,5837
1965,,,182,323,2293,2256,,12661,30269,5546
1966,,,153,302,2451,2179,,12316,27793,5746
1967,,,217,304,3193,2352,,13629,28956,7665
1968,,,244,467,4180,2613,,16721,31427,11185
1969,,,297,604,4957,3493,,19073,33736,14434
1970,,,309,546,5296,3239,,19011,30011,13025
1971,,,277,498,4956,3231,,18876,27761,11865
1972,,,250,512,4844,3216,,17577,27462,11279
1973,,,254,565,5177,3314,,19033,25930,9618
1974,,,227,445,5300,3410,,19885,28441,8717
1975,,,274,462,6288,3573,,18976,30233,9627
1976,,,224,489,5303,3600,,17005,28969,7199
1977,,,195,473,4943,4115,,15215,23790,6719
1978,,,210,497,5025,4363,,16688,22151,5551
1979,,,265,555,5386,4568,,17263,23103,6073
1980,450790,,225,392,5938,4428,,20184,27043,6421
1981,454166,,265,413,5365,4321,,19214,27195,5881
1982,455362,,226,316,4899,4628,,17149,27638,5280
1983,457262,,152,323,3840,4146,,14199,22974,5353
1984,442528,,128,349,3112,4140,,13256,21051,5196
1985,431109,8642,169,384,3136,4953,40471,13498,21390,5583
1986,434298,9889,195,373,3326,5995,41299,12523,21641,7135
1987,429414,9778,153,332,3296,5997,44630,11796,25157,7677
1988,425187,10481,140,305,3327,6709,46734,12541,26735,7458
1989,405066,12644,158,330,4220,7936,49438,13837,26669,8932
1990,396685,13682,177,331,4708,8466,44517,11531,24564,8422
1991,399858,14076,260,342,5294,8180,50027,13396,27381,9250
1992,402573,13247,231,349,4936,7731,46332,12303,25600,8429
1993,387053,14998,267,319,6223,8189,49440,12400,26975,10065
1994,390437,14644,248,304,6025,8067,49195,12522,27744,8929
1995,371425,12452,204,273,5136,6839,47284,10692,28587,8005
1996,374041,10203,166,269,4086,5682,46385,9887,29228,7270
1997,377221,9591,153,225,3572,5641,41623,10097,23405,8121
1998,344153,8848,113,168,3500,5067,42611,9042,26893,6676
1999,340836,7611,130,144,2792,4545,40100,7856,25599,6645
2000,348189,7936,124,112,3224,4476,42717,8020,26862,7835
2001,350336,7664,148,120,3140,4256,44971,8128,28000,8843
2002,353004,7499,111,136,2818,4434,42930,7059,26036,9835
2003,340256,7424,74,81,2786,4483,44870,6978,25926,11966
2004,335143,6957,113,171,2632,4041,38804,6300,23592,8912
2005,346005,8323,131,276,2965,4951,38245,7213,22886,8146
2006,346879,8605,129,337,3147,4992,40707,8510,23552,8645
2007,348197,7654,138,255,2761,4500,33901,7289,20330,6282
2008,356204,7383,167,237,2634,4345,30443,7274,17328,5841
2009,355208,7353,143,250,2721,4239,29595,6834,17799,4962
2010,,6205,144,188,2125,3748,27324,6705,16356,4263
2011,,5950,113,188,2127,3522,25669,7015,15285,3369
2012,,5661,113,199,1778,3571,21995,4986,13520,3489
2013,,5077,120,333,1457,3167,21087,4305,13452,3330
2014,,5348,159,279,1562,3348,19919,4209,12463,3247
2015,,5762,188,263,1790,3521,20028,4202,12680,3146
2016,,6017,188,289,1904,3636,18653,3201,12394,3058
2017,,6461,205,289,1944,4023,18745,3138,12894,2713
